,JP001,JP002,JP003,JP004,JP005,JP006,JP007,JP008
0610009B22Rik,10.42507552,10.40492428,10.57132424,10.5249656,9.789003877,9.35493263,9.291469682,9.170668233
0610010F05Rik,11.68154214,11.71479398,11.4722113,11.45416887,10.604382,10.77389961,10.91898832,11.00099746
0610010K14Rik,9.891799428,9.798628403,10.09583805,9.964367409,10.09365644,10.090004,10.11844759,10.19860568
0610012G03Rik,11.82055513,11.60310925,12.07327478,11.90522268,11.60219644,11.85161737,11.75389678,11.88884293
0610030E20Rik,9.875777474,9.791588124,9.871848573,9.678772289,10.13964612,9.86877811,9.375454086,10.00197099
0610037L13Rik,11.3043697,11.16895039,11.3223912,11.12647671,11.60854509,11.35464615,11.36176875,11.29318534
0610040J01Rik,8.810224677,9.240254702,9.031189244,9.876417737,11.58958771,11.09316594,10.64534833,10.85469943
1110002E22Rik,8.048068348,7.998375674,8.225745771,7.97070712,6.9057921,7.612750777,7.658381324,8.219296281
1110004F10Rik,12.8304385,12.92384139,12.89379386,12.66687436,12.68607083,12.52100102,12.46617709,12.65489204
1110008L16Rik,8.891824429,9.200868023,8.980571926,8.768773748,8.379983612,8.382065709,8.748269283,8.334960008
1110008P14Rik,13.27799816,12.5867855,13.6163911,13.19771763,11.15088799,11.95605898,12.26190922,11.98790266
1110012L19Rik,9.279925794,9.439253086,9.853253107,9.835467512,9.911323265,9.671264592,9.578379346,9.641493149
1110017D15Rik,6.941338568,7.266771927,7.064705443,6.735024115,7.234453956,7.035973057,7.419133093,7.323360467
1110025L11Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
1110032A03Rik,10.35043607,10.45367857,10.53692493,10.40269901,9.454107178,9.433164571,9.291620093,9.460480784
1110032F04Rik,11.39606121,11.15480293,11.33942488,10.88244963,8.878415911,9.978659344,9.873840653,10.15503966
1110038F14Rik,10.09088266,10.04637295,10.22513194,10.11448637,10.2833218,10.16626846,10.30633852,10.33799478
1110051M20Rik,12.5980304,12.6394188,12.57209234,12.41960644,12.47654671,12.38760934,12.30638892,12.40525333
1110057P08Rik,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283,5.879159283
